id;id_paket;lokasi;status;timestamp;keterangan
1;1;Surabaya;menunggu;2025-01-01 05:00:35;Paket diterima di counter
2;1;Pusat Sortir Surabaya;diproses;2025-01-01 08:00:35;Paket sedang disortir
3;1;Jalur Transito Surabaya - Yogyakarta;dalam_perjalanan;2025-01-01 13:00:35;Paket dikirim oleh kurir
4;2;Bekasi;menunggu;2025-01-01 14:48:56;Paket diterima di counter
5;2;Pusat Sortir Bekasi;diproses;2025-01-01 16:48:56;Paket sedang disortir
6;1;Hub Tujuan Yogyakarta;sampai_tujuan;2025-01-01 21:00:35;Paket tiba di hub tujuan
7;2;Jalur Transito Bekasi - Jakarta Timur;dalam_perjalanan;2025-01-01 21:48:56;Paket dikirim oleh kurir
8;2;Hub Tujuan Jakarta Timur;sampai_tujuan;2025-01-02 06:48:56;Paket tiba di hub tujuan
9;3;Bekasi;menunggu;2025-01-02 07:03:36;Paket diterima di counter
10;3;Pusat Sortir Bekasi;diproses;2025-01-02 08:03:36;Paket sedang disortir
11;1;Yogyakarta;terkirim;2025-01-02 10:00:35;Paket berhasil diterima oleh Eko Prasetyo
12;3;Jalur Transito Bekasi - Jakarta Barat;dalam_perjalanan;2025-01-02 18:03:36;Paket dikirim oleh kurir
13;2;Jakarta Timur;terkirim;2025-01-02 20:48:56;Paket berhasil diterima oleh Roni Wijaya
14;3;Hub Tujuan Jakarta Barat;sampai_tujuan;2025-01-03 06:03:36;Paket tiba di hub tujuan
15;3;Jakarta Barat;terkirim;2025-01-03 08:03:36;Paket berhasil diterima oleh Budi Santoso
16;4;Semarang;menunggu;2025-01-03 08:55:44;Paket diterima di counter
17;4;Pusat Sortir Semarang;diproses;2025-01-03 09:55:44;Paket sedang disortir
18;4;Jalur Transito Semarang - Bekasi;dalam_perjalanan;2025-01-03 17:55:44;Paket dikirim oleh kurir
19;5;Tangerang;menunggu;2025-01-03 20:31:49;Paket diterima di counter
20;5;Pusat Sortir Tangerang;diproses;2025-01-03 22:31:49;Paket sedang disortir
21;5;Jalur Transito Tangerang - Bogor;dalam_perjalanan;2025-01-04 03:31:49;Paket dikirim oleh kurir
22;4;Hub Tujuan Bekasi;sampai_tujuan;2025-01-04 06:55:44;Paket tiba di hub tujuan
23;5;Hub Tujuan Bogor;sampai_tujuan;2025-01-04 12:31:49;Paket tiba di hub tujuan
24;6;Bandung;menunggu;2025-01-04 12:42:23;Paket diterima di counter
25;4;Bekasi;terkirim;2025-01-04 14:55:44;Paket berhasil diterima oleh Rahmat Hidayat
26;6;Pusat Sortir Bandung;diproses;2025-01-04 15:42:23;Paket sedang disortir
27;6;Jalur Transito Bandung - Karawang;dalam_perjalanan;2025-01-04 18:42:23;Paket dikirim oleh kurir
28;5;Bogor;terkirim;2025-01-04 22:31:49;Paket berhasil diterima oleh Budi Santoso
29;7;Jakarta Barat;menunggu;2025-01-05 04:34:25;Paket diterima di counter
30;7;Pusat Sortir Jakarta Barat;diproses;2025-01-05 05:34:25;Paket sedang disortir
31;6;Hub Tujuan Karawang;sampai_tujuan;2025-01-05 11:42:23;Paket tiba di hub tujuan
32;7;Jalur Transito Jakarta Barat - Bogor;dalam_perjalanan;2025-01-05 14:34:25;Paket dikirim oleh kurir
33;6;Karawang;terkirim;2025-01-05 18:42:23;Paket berhasil diterima oleh Andi Pratama
34;7;Hub Tujuan Bogor;sampai_tujuan;2025-01-06 01:34:25;Paket tiba di hub tujuan
35;7;Bogor;terkirim;2025-01-06 07:34:25;Paket berhasil diterima oleh Roni Wijaya
36;8;Surabaya;menunggu;2025-01-08 02:36:58;Paket diterima di counter
37;8;Pusat Sortir Surabaya;diproses;2025-01-08 03:36:58;Paket sedang disortir
38;8;Jalur Transito Surabaya - Bogor;dalam_perjalanan;2025-01-08 12:36:58;Paket dikirim oleh kurir
39;8;Hub Tujuan Bogor;sampai_tujuan;2025-01-08 19:36:58;Paket tiba di hub tujuan
40;8;Bogor;terkirim;2025-01-09 07:36:58;Paket berhasil diterima oleh Andi Pratama
41;9;Tangerang;menunggu;2025-01-09 15:18:01;Paket diterima di counter
42;9;Pusat Sortir Tangerang;diproses;2025-01-09 16:18:01;Paket sedang disortir
43;9;Jalur Transito Tangerang - Bekasi;dalam_perjalanan;2025-01-09 23:18:01;Paket dikirim oleh kurir
44;10;Bekasi;menunggu;2025-01-10 01:07:42;Paket diterima di counter
45;11;Depok;menunggu;2025-01-10 03:05:39;Paket diterima di counter
46;11;Pusat Sortir Depok;diproses;2025-01-10 04:05:39;Paket sedang disortir
47;10;Pusat Sortir Bekasi;diproses;2025-01-10 04:07:42;Paket sedang disortir
48;10;Jalur Transito Bekasi - Bandung;dalam_perjalanan;2025-01-10 06:07:42;Paket dikirim oleh kurir
49;9;Hub Tujuan Bekasi;sampai_tujuan;2025-01-10 08:18:01;Paket tiba di hub tujuan
50;11;Jalur Transito Depok - Semarang;dalam_perjalanan;2025-01-10 14:05:39;Paket dikirim oleh kurir
51;12;Jakarta Barat;menunggu;2025-01-10 16:27:18;Paket diterima di counter
52;12;Pusat Sortir Jakarta Barat;diproses;2025-01-10 18:27:18;Paket sedang disortir
53;11;Hub Tujuan Semarang;sampai_tujuan;2025-01-10 19:05:39;Paket tiba di hub tujuan
54;9;Bekasi;terkirim;2025-01-10 21:18:01;Paket berhasil diterima oleh Sari Indah
55;10;Hub Tujuan Bandung;sampai_tujuan;2025-01-11 01:07:42;Paket tiba di hub tujuan
